col1 col2 col3
2452129.73667 18.386 0.04
2452132.67964 18.27 0.041
2452136.58305 18.397 0.054
2452141.59817 18.362 0.044
2452144.68095 18.37 0.044
2452170.57853 18.448 0.056
2452333.87889 18.323 0.044
2452344.8402 18.323 0.039
2452355.89104 18.366 0.037
2452364.88358 18.449 0.063
2452372.89444 18.428 0.042
2452391.92455 18.438 0.06
2452405.83181 18.404 0.046
2452414.88032 18.247 0.045
2452416.89296 18.375 0.058
2452424.75161 18.419 0.059
2452428.73682 18.314 0.041
2452432.88836 18.536 0.093
2452434.77636 18.336 0.04
2452436.82434 18.255 0.04
2452438.798 18.248 0.041
2452441.76032 18.32 0.041
2452445.67687 18.289 0.035
2452448.70017 18.338 0.067
2452459.68889 18.543 0.047
2452460.70689 18.236 0.048
2452463.58818 18.374 0.038
2452466.61097 18.328 0.039
2452468.73717 18.378 0.037
2452470.72098 18.401 0.039
2452472.74842 18.409 0.052
2452481.60483 18.456 0.069
2452484.66815 18.323 0.049
2452486.53034 18.44 0.07
2452486.76087 18.398 0.08
2452490.74403 18.439 0.069
2452493.68873 18.347 0.048
2452496.53477 18.315 0.034
2452498.55539 18.347 0.036
2452500.59886 18.234 0.036
2452502.61247 18.273 0.042
2452508.7107 18.202 0.052
2452517.56158 18.474 0.062
2452520.62906 18.348 0.045
2452529.49492 18.273 0.047
2452538.54658 18.307 0.051
2452542.57436 18.289 0.04
2452548.50286 18.444 0.071
2452552.53917 18.434 0.071
2452557.50433 18.264 0.045
2452564.52576 18.294 0.052
2452708.85304 18.33 0.036
2452719.85874 18.214 0.041
2452729.88069 18.428 0.052
2452734.81967 18.346 0.037
2452747.744 18.457 0.08
2452753.92904 18.421 0.063
2452757.85613 18.377 0.049
2452761.90425 18.277 0.038
2452767.8512 18.342 0.055
2452775.76807 18.358 0.058
2452782.68942 18.322 0.056
2452784.61208 18.335 0.041
2452786.83544 18.388 0.051
2452788.64203 18.274 0.043
2452790.74647 18.46 0.046
2452793.65967 18.5 0.05
2452795.63403 18.298 0.036
2452797.64598 18.306 0.033
2452802.73837 18.263 0.053
2452809.76098 18.297 0.047
2452811.6881 18.415 0.058
2452812.81738 18.43 0.058
2452813.86118 18.243 0.05
2452815.84185 18.331 0.043
2452816.86281 18.389 0.05
2452818.63254 18.302 0.041
2452819.80904 18.263 0.045
2452821.69489 18.323 0.048
2452826.81225 18.519 0.065
2452835.68035 18.312 0.047
2452837.68806 18.47 0.076
2452838.82383 18.364 0.07
2452840.74115 18.251 0.05
2452843.69244 18.511 0.048
2452845.68979 18.369 0.042
2452846.51145 18.426 0.073
2452847.47567 18.5 0.091
2452848.67499 18.348 0.052
2452849.64545 18.423 0.05
